Category: All categories

Week,ICE deportation: (United States)
2015-06-28,0
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,6
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,9
2015-11-08,7
2015-11-15,5
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,7
2015-12-27,7
2016-01-03,39
2016-01-10,10
2016-01-17,7
2016-01-24,5
2016-01-31,5
2016-02-07,4
2016-02-14,0
2016-02-21,7
2016-02-28,0
2016-03-06,5
2016-03-13,5
2016-03-20,0
2016-03-27,7
2016-04-03,5
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,5
2016-05-15,4
2016-05-22,6
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,5
2016-07-24,5
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,12
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,5
2016-10-23,0
2016-10-30,0
2016-11-06,11
2016-11-13,12
2016-11-20,8
2016-11-27,6
2016-12-04,5
2016-12-11,4
2016-12-18,5
2016-12-25,0
2017-01-01,0
2017-01-08,5
2017-01-15,0
2017-01-22,8
2017-01-29,11
2017-02-05,45
2017-02-12,100
2017-02-19,60
2017-02-26,38
2017-03-05,25
2017-03-12,17
2017-03-19,17
2017-03-26,19
2017-04-02,15
2017-04-09,13
2017-04-16,14
2017-04-23,14
2017-04-30,13
2017-05-07,14
2017-05-14,11
2017-05-21,9
2017-05-28,11
2017-06-04,12
2017-06-11,18
2017-06-18,13
2017-06-25,11
2017-07-02,9
2017-07-09,13
2017-07-16,10
2017-07-23,12
2017-07-30,10
2017-08-06,11
2017-08-13,9
2017-08-20,12
2017-08-27,9
2017-09-03,13
2017-09-10,8
2017-09-17,12
2017-09-24,12
2017-10-01,8
2017-10-08,8
2017-10-15,10
2017-10-22,9
2017-10-29,9
2017-11-05,11
2017-11-12,13
2017-11-19,11
2017-11-26,9
2017-12-03,14
2017-12-10,10
2017-12-17,10
2017-12-24,8
2017-12-31,7
2018-01-07,14
2018-01-14,16
2018-01-21,22
2018-01-28,20
2018-02-04,22
2018-02-11,19
2018-02-18,13
2018-02-25,18
2018-03-04,13
2018-03-11,10
2018-03-18,15
2018-03-25,16
2018-04-01,14
2018-04-08,15
2018-04-15,11
2018-04-22,10
2018-04-29,12
2018-05-06,11
2018-05-13,13
2018-05-20,9
2018-05-27,13
2018-06-03,14
2018-06-10,18
2018-06-17,26
2018-06-24,15
2018-07-01,14
2018-07-08,10
2018-07-15,9
2018-07-22,8
2018-07-29,14
2018-08-05,11
2018-08-12,14
2018-08-19,14
2018-08-26,10
2018-09-02,8
2018-09-09,15
2018-09-16,13
2018-09-23,9
2018-09-30,12
2018-10-07,7
2018-10-14,7
2018-10-21,7
2018-10-28,7
2018-11-04,6
2018-11-11,8
2018-11-18,5
2018-11-25,9
2018-12-02,7
2018-12-09,10
2018-12-16,8
2018-12-23,0
2018-12-30,5
2019-01-06,7
2019-01-13,6
2019-01-20,7
2019-01-27,0
2019-02-03,21
2019-02-10,15
2019-02-17,7
2019-02-24,9
2019-03-03,5
2019-03-10,8
2019-03-17,6
2019-03-24,9
2019-03-31,6
2019-04-07,8
2019-04-14,6
2019-04-21,0
2019-04-28,4
2019-05-05,7
2019-05-12,7
2019-05-19,9
2019-05-26,4
2019-06-02,8
2019-06-09,8
2019-06-16,53
2019-06-23,42
2019-06-30,12
2019-07-07,43
2019-07-14,63
2019-07-21,30
2019-07-28,16
2019-08-04,23
2019-08-11,16
2019-08-18,6
2019-08-25,14
2019-09-01,11
2019-09-08,10
2019-09-15,8
2019-09-22,5
2019-09-29,9
2019-10-06,12
2019-10-13,10
2019-10-20,7
2019-10-27,8
2019-11-03,6
2019-11-10,7
2019-11-17,9
2019-11-24,5
2019-12-01,8
2019-12-08,9
2019-12-15,6
2019-12-22,6
2019-12-29,5
