Category: All categories

Month,trump zero tolerance + family separation: (United States)
2015-07,3
2015-08,4
2015-09,3
2015-10,4
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,2
2016-06,3
2016-07,2
2016-08,2
2016-09,3
2016-10,3
2016-11,3
2016-12,3
2017-01,3
2017-02,3
2017-03,3
2017-04,3
2017-05,3
2017-06,3
2017-07,3
2017-08,3
2017-09,3
2017-10,3
2017-11,2
2017-12,2
2018-01,2
2018-02,3
2018-03,3
2018-04,3
2018-05,4
2018-06,100
2018-07,16
2018-08,9
2018-09,8
2018-10,9
2018-11,9
2018-12,7
2019-01,6
2019-02,8
2019-03,6
2019-04,10
2019-05,6
2019-06,9
2019-07,9
2019-08,6
2019-09,5
2019-10,6
2019-11,6
2019-12,6
2020-01,5
2020-02,6
2020-03,4
2020-04,4
2020-05,4
2020-06,5
2020-07,5
2020-08,5
2020-09,5
2020-10,8
2020-11,6
2020-12,3
